datetime,accel_x,accel_y,accel_z,disp_x,disp_y,disp_z,total_displacement
2017-07-15 18:00:22.870257019,-1.4061,-0.8348,-0.007,-0.0,-0.0,-0.0,0.0
2017-07-15 18:00:23.270219027,-2.2865,-0.2373,-0.6932,-0.36577050833391594,-0.03796078794123694,-0.11089093215703938,0.3840909853441343
2017-07-15 18:00:23.470261991,0.3797,0.6185,0.0004,-0.5335178996612786,-0.032196432161162504,-0.16633756999759877,0.5597732993771645
2017-07-15 18:00:23.670449972,-2.1317,-0.9361,-0.6188,-0.7868152589493536,-0.06394231831532762,-0.24662295365245707,0.8270367301730552
2017-07-15 18:00:23.702360270,0.0405,-0.5293,0.1248,-0.8271500405940809,-0.06954163429276283,-0.25929349795260886,0.8696242560068099
2017-07-15 18:00:23.870023012,0.4532,-0.4446,0.3912,-1.0263368009610903,-0.11145955911363101,-0.3148699915022211,1.079320885498589
2017-07-15 18:00:24.269267022,0.2514,0.649,-0.1218,-1.4605747365220423,-0.10782803304873943,-0.46662496328738956,1.537089555634463
2017-07-15 18:00:24.470242977,-1.8272,-0.8777,-0.5139,-1.7529693750346358,-0.14145142875870592,-0.5637742002483751,1.8468219961254781
2017-07-15 18:00:24.670252025,0.4164,-0.3534,0.2824,-2.0272997788787306,-0.1890503394119696,-0.6491590244989386,2.1370755399287935
2017-07-15 18:00:24.702930090,-2.1338,-0.5534,-0.8844,-2.0743992760104137,-0.19741814054142248,-0.6640538593525548,2.187023961150948
2017-07-15 18:00:24.870056986,-1.7178,-0.2376,-0.3929,-2.363262908124109,-0.24685046229851734,-0.7512054292554182,2.4920385873005717
2017-07-15 18:00:25.270249009,-2.2305,-0.6393,-0.4259,-3.4121811327070724,-0.46760436155175406,-1.028102783645066,3.59424947034608
2017-07-15 18:00:25.470377027,0.5615,-0.1781,0.306,-3.9142353731843036,-0.5851320895230762,-1.1543179320785204,4.122628773876559
2017-07-15 18:00:25.670216977,-2.0642,-0.2898,-0.6499,-4.498002850220788,-0.7140641003192607,-1.306305814124191,4.737969191539108
2017-07-15 18:00:25.702250000,0.3664,0.6158,-0.1779,-4.591200949585598,-0.7340991680340011,-1.330851012724233,4.836237397611187
2017-07-15 18:00:25.870244979,-0.1738,0.1561,-0.2539,-5.084876989480757,-0.8347661952867902,-1.4667422585451675,5.357624609091856
2017-07-15 18:00:26.270214974,0.1042,-0.3632,0.3948,-6.24357359013751,-1.1325420594026299,-1.7271197194077432,6.576306350600285
2017-07-15 18:00:26.470219016,-2.2307,-0.2941,-0.6191,-6.912208668230144,-1.293208645510913,-1.8820858486364012,7.279647272747321
2017-07-15 18:00:26.670324027,-0.1421,0.4405,-0.1427,-7.586871266969108,-1.4363178339068954,-2.042844205760972,7.9872922189294915
2017-07-15 18:00:26.703470110,-1.7661,-0.6808,-0.446,-7.700565051146173,-1.4607709022561353,-2.069962777156227,8.106620728430828
2017-07-15 18:00:26.870226979,-0.9837,-0.2934,-0.1259,-8.299909378816372,-1.5919523205450985,-2.209896439418354,8.735356327042808
2017-07-15 18:00:27.270247995,-1.5105,0.2916,-0.5102,-9.979338620275659,-1.8599730530429246,-2.6272137790756154,10.485654547863756
