datetime,accel_x,accel_y,accel_z,disp_x,disp_y,disp_z,total_displacement
2017-07-09 19:41:44.405398011,0.9331,-1.1943,-0.4246,0.0,-0.0,-0.0,0.0
2017-07-09 19:41:44.605670988,-0.1161,-0.5603,0.3522,-0.004656685703238977,-0.02247322135680275,0.014126483244451059,0.02694972965998661
2017-07-09 19:41:44.806141972,1.2402,-0.351,-0.9752,0.04052394544685574,-0.05907486567750155,-0.010925004624495235,0.07246644489306642
2017-07-09 19:41:45.206176996,2.3357,-0.9235,-0.5504,0.5044582548919921,-0.27989844292151334,-0.1489940682160545,0.595835968738152
2017-07-09 19:41:45.405853986,-0.5153,-0.4141,0.2913,0.7154850196531546,-0.40663279961581456,-0.2062966781507374,0.8484264060526989
2017-07-09 19:41:45.590300500,-0.0952,0.6987,-0.1048,0.9071768447146582,-0.499930286262229,-0.26279384904763753,1.0686256247189423
2017-07-09 19:41:45.606684982,1.7458,-0.7713,-0.9037,0.9246735937451276,-0.5084250081028588,-0.26805512220087446,1.0887473501102296
2017-07-09 19:41:45.805911004,-0.0854,1.0346,-0.1086,1.1340345408492072,-0.5706516981058891,-0.3363396675481196,1.3133172017287318
2017-07-09 19:41:46.205918014,-0.4283,-0.4123,0.2947,1.4858601025712834,-0.7615610717807106,-0.4262880687913464,1.7232170577320738
2017-07-09 19:41:46.405923008,2.9347,-1.8881,-1.6756,1.7791680555099352,-0.93254424098146,-0.5382899514603651,2.0796234762518653
2017-07-09 19:41:46.562500900,4.1052,-1.3173,-0.9172,2.1094357219266993,-1.0986975845118518,-0.6484595142405574,2.465229236554218
2017-07-09 19:41:46.605951011,0.0989,1.4431,-0.3205,2.2012711780464795,-1.1420804217586775,-0.6796364650171145,2.571351437210319
2017-07-09 19:41:46.806110978,4.8701,-1.7447,-1.0217,2.819441813329119,-1.411830163744947,-0.8641915349815306,3.2694561564796074
2017-07-09 19:41:47.206300020,3.2448,-2.1523,-1.8211,4.575037678013732,-2.2958468253854623,-1.5248324641186533,5.341066976223754
2017-07-09 19:41:47.405898988,-0.0191,1.1397,-0.2211,5.449900721594338,-2.691355119956993,-1.8631434271139256,6.357366883148323
2017-07-09 19:41:47.605849027,3.4586,-0.1817,-0.7237,6.464577436481532,-3.0948234361732827,-2.230982978214266,7.506395845040104
2017-07-09 19:41:47.613898000,-0.6524,-0.5375,0.3104,6.5053809009941626,-3.111099843777278,-2.2457702206765764,7.552642371319348
2017-07-09 19:41:47.806343972,-0.5118,-0.5599,0.4001,7.4620117858492785,-3.520994844132865,-2.5845061684055115,8.646311162518378
2017-07-09 19:41:48.206043004,-0.1201,0.991,-0.1943,9.429691107958272,-4.214001311979934,-3.3190821619125233,10.848649125416575
2017-07-09 19:41:48.405888974,5.6033,-0.7026,-1.0155,10.637300214820916,-4.58855912585331,-3.726921098853368,12.16950991571802
2017-07-09 19:41:48.605668008,-0.3583,-0.4863,0.3367,11.830204498914705,-4.982400527537179,-4.121185178316914,13.48192199862184
2017-07-09 19:41:48.664800400,3.0182,-1.5657,-2.0763,12.193844576416385,-5.104447930228796,-4.245143073245877,13.884036658643039
2017-07-09 19:41:48.805857002,2.9992,-1.4663,-1.7509,13.120960087582484,-5.424759252943119,-4.575674431262323,14.91725186062206
2017-07-09 19:41:49.206358015,3.2875,0.3223,-0.5455,16.28063109451895,-6.2825196653115505,-5.601648558718846,18.32777860942893
2017-07-09 19:41:49.405441999,-0.4142,-0.6103,0.1993,17.83484697477165,-6.7330904029925875,-6.1037481682103385,20.01679331684582
2017-07-09 19:41:49.596499400,0.2237,0.9817,-0.2896,19.334566348815375,-7.129660295347739,-6.596175588855396,21.63716811929911
2017-07-09 19:41:49.605903029,3.6277,-1.8822,-1.4799,19.40870162984191,-7.149345456162098,-6.620543174021045,21.7173302071606
2017-07-09 19:41:49.806141972,0.4142,0.8785,-0.3091,21.003930677159087,-7.533293209510136,-7.151815084315376,23.43211619704027
2017-07-09 19:41:50.205434024,-0.0238,-0.7191,0.0,24.181147141573778,-8.413564033299135,-8.211212662294917,26.887542658456145
2017-07-09 19:41:50.406161010,1.3644,-1.2308,-0.3452,25.833330187772376,-8.905673067013005,-8.757688007940462,28.694408176706073
2017-07-09 19:41:50.577199400,3.7817,-0.1125,-0.7025,27.35177686165533,-9.328287629417876,-9.243887750847604,30.341161947710653
2017-07-09 19:41:50.605906009,0.7647,0.8149,-0.3336,27.60725890583508,-9.398546551289646,-9.325765076766622,30.618022729066112
2017-07-09 19:41:50.806838989,1.2401,0.134,-0.3748,29.445582874374992,-9.884916370114063,-9.91400067087869,32.6043146187436
2017-07-09 19:41:51.206152021,0.8678,-0.6456,-0.5392,33.23724571281036,-10.95441799835175,-11.168974031756695,36.73499363248072
2017-07-09 19:41:51.406334996,0.542,0.9381,-0.279,35.15979579205582,-11.452986165055357,-11.8092957131925,38.81805762113352
2017-07-09 19:41:51.606284022,0.2143,0.4002,-0.2127,37.08866666460007,-11.9349718260821,-12.457372729854798,40.90475379192154
2017-07-09 19:41:51.638902100,0.0559,-0.7318,0.0036,37.40338663917548,-12.014377685814734,-12.563090978458064,41.245482882251096
2017-07-09 19:41:51.806146979,0.1341,-0.7738,-0.2127,39.02082255675177,-12.443164568186104,-13.111096709488615,43.004160198776496
2017-07-09 19:41:52.206470012,0.8419,0.5325,-0.3412,43.02729386050507,-13.38418577198339,-14.477502084258937,47.329509952427586
2017-07-09 19:41:52.406208992,1.3562,0.3866,-0.5741,45.0804072208403,-13.83827947428166,-15.182166644480159,49.540279349493794
2017-07-09 19:41:52.605624973,-0.2412,-0.9135,-0.255,47.12060874418557,-14.327965770195854,-15.895832204813345,51.75248644285705
2017-07-09 19:41:52.630199900,0.5251,-0.7972,-0.4302,47.37234906340104,-14.388793462463216,-15.984040226597907,52.02563190443378
2017-07-09 19:41:52.806500971,0.3063,-0.7458,0.0226,49.18786013058095,-14.848353681074697,-16.61614407527808,54.00014291827642
2017-07-09 19:41:53.206228971,0.5642,0.3332,-0.2856,53.39432363546652,-15.837076560762512,-18.09494909164561,58.559320121647914
2017-07-09 19:41:53.406280994,0.5277,-0.8115,-0.0656,55.52065299553638,-16.364379962323017,-18.837672561484965,60.87030267820069
